system,language,granularity,ref_grade,ref_clusters,ref_entities,axis,technique,metric,value,projection,source,tier
P-1,cpp,file,GT-diag,28,50-100,A2,none,mojofm,96.87,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,propose_all,a2a,81.21,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,propose_all,clusters,6.0,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,propose_all,mojofm,24.47,common-a2,a2-ablation.json,P
abseil,cpp,file,GT-exp,21,809,A2,dir_leaf,a2a,90.01,common-a2,a2-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A2,dir_leaf,mojofm,97.85,common-a2,a2-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A2,dir_top,a2a,100.0,common-a2,a2-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A2,dir_top,mojofm,100.0,common-a2,a2-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A2,edge_cc,a2a,79.91,common-a2,a2-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A2,edge_cc,mojofm,19.49,common-a2,a2-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A2,hand_curation,a2a,98.76,common-a2,a2-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A2,hand_curation,mojofm,95.16,common-a2,a2-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A2,none,a2a,85.13,common-a2,a2-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A2,none,mojofm,89.92,common-a2,a2-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A2,propose_all,a2a,100.0,common-a2,a2-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A2,propose_all,mojofm,100.0,common-a2,a2-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A2,dir_leaf,a2a,97.09,common-a2,a2-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A2,dir_leaf,mojofm,92.98,common-a2,a2-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A2,dir_top,a2a,97.09,common-a2,a2-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A2,dir_top,mojofm,92.98,common-a2,a2-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A2,edge_cc,a2a,85.76,common-a2,a2-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A2,edge_cc,mojofm,53.18,common-a2,a2-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A2,hand_curation,a2a,98.35,common-a2,a2-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A2,hand_curation,mojofm,93.98,common-a2,a2-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A2,none,a2a,97.65,common-a2,a2-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A2,none,mojofm,92.31,common-a2,a2-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A2,propose_all,a2a,95.74,common-a2,a2-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A2,propose_all,mojofm,83.61,common-a2,a2-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A2,det_curation,a2a,100.0,common-a2,a2-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A2,det_curation,mojofm,100.0,common-a2,a2-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A2,dir_leaf,a2a,80.77,common-a2,a2-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A2,dir_leaf,mojofm,33.33,common-a2,a2-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A2,dir_top,a2a,80.77,common-a2,a2-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A2,dir_top,mojofm,33.33,common-a2,a2-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A2,edge_cc,a2a,75.86,common-a2,a2-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A2,edge_cc,mojofm,6.67,common-a2,a2-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A2,hand_curation,a2a,88.89,common-a2,a2-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A2,hand_curation,mojofm,66.67,common-a2,a2-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A2,name,a2a,85.15,common-a2,a2-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A2,name,mojofm,46.67,common-a2,a2-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A2,name_segment,a2a,85.15,common-a2,a2-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A2,name_segment,mojofm,46.67,common-a2,a2-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A2,none,a2a,80.77,common-a2,a2-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A2,none,mojofm,33.33,common-a2,a2-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A2,propose_all,a2a,73.26,common-a2,a2-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A2,propose_all,mojofm,0.0,common-a2,a2-ablation.json,oss
