system,language,granularity,ref_grade,ref_clusters,ref_entities,axis,technique,metric,value,projection,source,tier
P-1,cpp,file,GT-diag,28,50-100,coverage,pipeline,abstained_targets,4.0,n/a,run-report.json,P
P-1,cpp,file,GT-diag,28,50-100,coverage,pipeline,coverage_pct_L0,1.0,n/a,run-report.json,P
P-1,cpp,file,GT-diag,28,50-100,coverage,pipeline,edges_dropped,341.0,n/a,run-report.json,P
P-1,cpp,file,GT-diag,28,50-100,coverage,pipeline,mean_confidence,0.8361,n/a,run-report.json,P
P-1,cpp,file,GT-diag,28,50-100,coverage,pipeline,unmapped_targets,0.0,n/a,run-report.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,acdc,a2a,88.5179,all-common,comparison-file.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,acdc,a2a,88.5179,pairwise,acdc-file/fidelity.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,acdc,clusters,52.0,all-common,comparison-file.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,acdc,clusters,70.0,pairwise,acdc-file/fidelity.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,acdc,mojofm,64.68,all-common,comparison-file.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,acdc,mojofm,64.68,pairwise,acdc-file/fidelity.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,arc,a2a,79.5235,all-common,comparison-file.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,arc,a2a,79.5235,pairwise,arc-file/fidelity.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,arc,clusters,13.0,all-common,comparison-file.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,arc,clusters,27.0,pairwise,arc-file/fidelity.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,arc,mojofm,16.13,all-common,comparison-file.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,arc,mojofm,16.13,pairwise,arc-file/fidelity.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,cc,a2a,78.19,all-common,comparison-file.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,cc,a2a,78.19,pairwise,cc-file/fidelity.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,cc,clusters,1.0,all-common,comparison-file.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,cc,clusters,3.0,pairwise,cc-file/fidelity.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,cc,mojofm,12.35,all-common,comparison-file.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,cc,mojofm,12.35,pairwise,cc-file/fidelity.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,dir,a2a,87.3021,all-common,comparison-file.json,P
P-1,cpp,file,GT-diag,28,50-100,fidelity,dir,a2a,87.3021,pairwise,dir-file/fidelity.json,P
